jersey,name,day,team,opponent,goal,assist,defense,drop,throwaway,o-line,o-scoring-line,d-line,d-scoring-line
2,Sneha Patil,day-1,Karnataka State,Delhi Ultimate,,3,,3,,5,4,6,4
3,Stania Peris,day-1,Karnataka State,Delhi Ultimate,3,1,1,,1,6,5,5,4
3,Swathi Shetty,day-1,Karnataka State,Delhi Ultimate,1,,,,,,,4,2
,Vaishnavi Devi,day-1,Karnataka State,Delhi Ultimate,,,,,,,,4,2
,Aaron Varghese,day-1,Karnataka State,Delhi Ultimate,,1,,,,6,5,1,1
,Abdul Talib,day-1,Karnataka State,Delhi Ultimate,,,1,,2,2,2,3,1
58,Ajith Jagadish,day-1,Karnataka State,Delhi Ultimate,,,,,,1,1,3,1
,Chethan Srikanth,day-1,Karnataka State,Delhi Ultimate,,1,,,1,2,2,7,4
0,Deepak Gowda,day-1,Karnataka State,Delhi Ultimate,,2,,,,5,4,2,2
,Esai Selvan Esakki,day-1,Karnataka State,Delhi Ultimate,,,1,,,1,1,3,
18,Grant Wagner,day-1,Karnataka State,Delhi Ultimate,,,,,,,,5,4
9,Naveen G,day-1,Karnataka State,Delhi Ultimate,,,,,1,3,3,3,1
,Prashanth S,day-1,Karnataka State,Delhi Ultimate,,,,,,,,,
13,Ranjan Khyadad,day-1,Karnataka State,Delhi Ultimate,,1,1,,,,,4,2
,Sabeel Khader,day-1,Karnataka State,Delhi Ultimate,,,2,,1,3,2,5,4
,Samatv Iyer,day-1,Karnataka State,Delhi Ultimate,1,1,,,,3,3,2,1
43,Sarang Minhas,day-1,Karnataka State,Delhi Ultimate,1,1,1,,,2,2,7,6
,Sushil Kumar,day-1,Karnataka State,Delhi Ultimate,,,,,,,,,
,Yadav Ajay,day-1,Karnataka State,Delhi Ultimate,,,,,,,,4,1
10,Aarti Kumari,day-1,Delhi Ultimate,Karnataka State,,,,1,,6,1,,
95,Aastha Gupta,day-1,Delhi Ultimate,Karnataka State,,,,,,5,2,,
27,Garima Rathore,day-1,Delhi Ultimate,Karnataka State,2,,,1,1,14,6,3,1
12,Khushboo Khatun,day-1,Delhi Ultimate,Karnataka State,,,,,,,,1,
28,Mansi Walecha,day-1,Delhi Ultimate,Karnataka State,,,,,,2,1,,
8,Mehr Parisha,day-1,Delhi Ultimate,Karnataka State,,,,,,3,3,3,
16,Prachi Mehta,day-1,Delhi Ultimate,Karnataka State,,,,,,,,3,1
34,Sangeeta Singh,day-1,Delhi Ultimate,Karnataka State,,,,,,1,,,
51,Sowmya Gascon,day-1,Delhi Ultimate,Karnataka State,,,,,1,8,3,8,1
3,Suhani Bedi,day-1,Delhi Ultimate,Karnataka State,,1,1,,,10,4,7,1
2,Veena Singh,day-1,Delhi Ultimate,Karnataka State,,,,,,1,,2,
17,Aman Doharey,day-1,Delhi Ultimate,Karnataka State,,,,,1,1,,8,1
94,Aranyadev Jhala,day-1,Delhi Ultimate,Karnataka State,,,,,,1,,,
23,Jatin Meena,day-1,Delhi Ultimate,Karnataka State,1,1,1,2,1,9,5,1,1
4,Kanishk K,day-1,Delhi Ultimate,Karnataka State,2,1,1,,,7,4,2,
47,Michiaki Ito,day-1,Delhi Ultimate,Karnataka State,,,,,,,,,
13,Mohit Rawat,day-1,Delhi Ultimate,Karnataka State,,,1,,2,5,2,,
6,Samarth Mishra,day-1,Delhi Ultimate,Karnataka State,,2,,,1,4,2,5,
7,Sidharth Walecha,day-1,Delhi Ultimate,Karnataka State,,,,,1,2,,2,
1,Subhadeep Guha,day-1,Delhi Ultimate,Karnataka State,,,,3,,6,3,3,
0,Sunny Chauhan,day-1,Delhi Ultimate,Karnataka State,1,,,,1,1,,7,1
74,Udayan Philip,day-1,Delhi Ultimate,Karnataka State,,2,,,5,13,6,1,
24,Ananya Thomas,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
26,Anudnya Jori,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
3,Kalpana Rathod,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
6,Kavya Chandel,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
27,Kimaya Dhongde,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
97,Nirbha Ghurye,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
11,Poonam Pokale,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
22,Radhika Rathod,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
93,Sahitra Ghurye,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
7,Sapna Dodmani,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
20,Sharanya Ramesh,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
77,Sushma Tapse,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
73,Vaishnavi _,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
19,Vidya Parmar,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
68,Chandan Dubey,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
14,Karan Arora,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
63,Kunal Pasalkar,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
92,Maksood Chaudhary,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
69,Rohan Bijoor,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
23,Sachin Pandit,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
9,Sandeep Kannoujia,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
49,Sanjeev Kumar,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
31,Shivamkumar Dubey,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
74,Shubham More,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
58,Sunil Varma,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
1,Sushant Tapse,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
4,Tahir Siddiqui,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
10,Vikas Chauhan,day-1,Maharashtra Ultimate,Madhya Pradesh,,,,,,,,,
88,Anushka Mallah,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,,,,,,
8,Harshita Kori,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,2,1,14,7,9,1
12,Jiya Parmar,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,,,,,,
13,Malti Jhanjhoriya,day-1,Madhya Pradesh,Maharashtra Ultimate,,,1,3,,7,4,5,
33,Muskaan Mallah,day-1,Madhya Pradesh,Maharashtra Ultimate,2,,,,,11,5,9,1
19,Sakshi Mallah,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,,,3,3,4,1
22,Shagun Kori,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,,,,,,
18,Shraddha Tiwari,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,,1,11,5,5,
81,Shruti Kori,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,1,,,,2,1
5,Vandana Jhanjhoriya,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,,,,,,
27,Abhishek Pawar,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,,1,3,1,2,
1,Anish Mallah,day-1,Madhya Pradesh,Maharashtra Ultimate,,2,1,,2,8,5,6,1
7,Anurag Patel,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,,,,,2,
99,Aryan Rawat,day-1,Madhya Pradesh,Maharashtra Ultimate,4,3,2,2,,11,7,6,1
17,Dhanraj Kalar,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,,1,,,1,
4,Dilbaras Parmar,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,,,1,,,
10,Harsh Kori,day-1,Madhya Pradesh,Maharashtra Ultimate,1,1,,,2,7,3,,
77,Karan Mallah,day-1,Madhya Pradesh,Maharashtra Ultimate,1,1,,,,8,5,8,1
11,Om Yadav,day-1,Madhya Pradesh,Maharashtra Ultimate,,1,,,,5,3,,
3,Radhepal Choudhary,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,,,,,,
2,Rajveer Parmar,day-1,Madhya Pradesh,Maharashtra Ultimate,,,,,,,,,
14,Rizwan Singh,day-1,Madhya Pradesh,Maharashtra Ultimate,,,1,1,,5,1,2,
9,Stephen Charles,day-1,Madhya Pradesh,Maharashtra Ultimate,,,1,,4,4,,2,
,Akshara Domala,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Ankita P,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Goundla Mamatha,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Manasa H G,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Nayanatara Vadali,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Ramya Bhavana Kothapalli,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Sindhu M,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Usha Rani,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Varshita M,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Abimanyu Nair,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Anil K,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Anil Naik,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Dhiraj Gangaraju,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
1,Kishen Chandar,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
7,Mayank Dawra,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Panvi S,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Pranay M,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Ravitheja Tetali,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Sandeep G,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Suresh K,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Tharun K,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
59,Venkatesh Kumar,day-1,Telangana Ultimate,Tamilnadu,,,,,,,,,
,Deepika Shankar,day-1,Tamilnadu,Telangana Ultimate,,2,,,1,,,,
,Gothainayagi R,day-1,Tamilnadu,Telangana Ultimate,1,1,1,2,,,,,
,Monika Shankar,day-1,Tamilnadu,Telangana Ultimate,1,,,,,,,,
8,Mrinalini Siddhartha,day-1,Tamilnadu,Telangana Ultimate,1,1,,,1,,,,
18,Pooja B,day-1,Tamilnadu,Telangana Ultimate,2,1,,,,,,,
77,Pooja S,day-1,Tamilnadu,Telangana Ultimate,,,,,,,,,
0,Sagarika AP,day-1,Tamilnadu,Telangana Ultimate,2,,,,,,,,
94,Samyuktha Arvind,day-1,Tamilnadu,Telangana Ultimate,1,,1,2,,,,,
,Selvi Murugan,day-1,Tamilnadu,Telangana Ultimate,,2,,,,,,,
,Shruthi Nathella,day-1,Tamilnadu,Telangana Ultimate,,1,,,1,,,,
13,Snehankita Rout,day-1,Tamilnadu,Telangana Ultimate,,,,,,,,,
,Srividya Suriyashekar,day-1,Tamilnadu,Telangana Ultimate,1,1,,1,1,,,,
2,Vijaya Dharshini M,day-1,Tamilnadu,Telangana Ultimate,,,,2,,,,,
,Arulmozhi Selvan,day-1,Tamilnadu,Telangana Ultimate,,,,,1,,,,
,Hariharan Kumar,day-1,Tamilnadu,Telangana Ultimate,1,1,,,,,,,
,Harsh Nisar,day-1,Tamilnadu,Telangana Ultimate,,1,1,,,,,,
31,Harsha GK,day-1,Tamilnadu,Telangana Ultimate,1,1,,,1,,,,
,Kiran Kumar,day-1,Tamilnadu,Telangana Ultimate,,,1,,,,,,
,Kishore Kumar,day-1,Tamilnadu,Telangana Ultimate,,,,,,,,,
,Manikandan Kumar,day-1,Tamilnadu,Telangana Ultimate,,1,,1,,,,,
,Ramkumar Nithyanandam,day-1,Tamilnadu,Telangana Ultimate,,,,,,,,,
,Siva Kumar,day-1,Tamilnadu,Telangana Ultimate,1,,,,1,,,,
99,Siva Raman,day-1,Tamilnadu,Telangana Ultimate,1,2,1,,,,,,
5,Subash S,day-1,Tamilnadu,Telangana Ultimate,,,,,,,,,
,Vimanthan L,day-1,Tamilnadu,Telangana Ultimate,1,,,,,,,,
,Yuvaraj Magesh,day-1,Tamilnadu,Telangana Ultimate,1,,,,,,,,
10,Aarti Kumari,day-1,Delhi Ultimate,Maharashtra Ultimate,,,,,,,,,
95,Aastha Gupta,day-1,Delhi Ultimate,Maharashtra Ultimate,,,1,1,1,6,5,,
27,Garima Rathore,day-1,Delhi Ultimate,Maharashtra Ultimate,,2,,,,9,6,6,1
12,Khushboo Khatun,day-1,Delhi Ultimate,Maharashtra Ultimate,,,,,,,,,
28,Mansi Walecha,day-1,Delhi Ultimate,Maharashtra Ultimate,,,,,,,,1,
8,Mehr Parisha,day-1,Delhi Ultimate,Maharashtra Ultimate,,,1,,,5,3,4,2
16,Prachi Mehta,day-1,Delhi Ultimate,Maharashtra Ultimate,,,,,,,,,
34,Sangeeta Singh,day-1,Delhi Ultimate,Maharashtra Ultimate,,,,,,,,,
51,Sowmya Gascon,day-1,Delhi Ultimate,Maharashtra Ultimate,2,,,,,11,7,7,1
3,Suhani Bedi,day-1,Delhi Ultimate,Maharashtra Ultimate,2,,1,,,7,3,8,2
2,Veena Singh,day-1,Delhi Ultimate,Maharashtra Ultimate,,,,1,,,,7,2
17,Aman Doharey,day-1,Delhi Ultimate,Maharashtra Ultimate,1,,,,,1,1,3,
94,Aranyadev Jhala,day-1,Delhi Ultimate,Maharashtra Ultimate,,,,,,,,2,1
23,Jatin Meena,day-1,Delhi Ultimate,Maharashtra Ultimate,3,2,,1,3,8,4,1,
4,Kanishk K,day-1,Delhi Ultimate,Maharashtra Ultimate,,1,,2,4,7,4,4,1
47,Michiaki Ito,day-1,Delhi Ultimate,Maharashtra Ultimate,,,,,,,,,
13,Mohit Rawat,day-1,Delhi Ultimate,Maharashtra Ultimate,,1,,,,4,3,,
6,Samarth Mishra,day-1,Delhi Ultimate,Maharashtra Ultimate,,1,,,2,2,2,5,2
7,Sidharth Walecha,day-1,Delhi Ultimate,Maharashtra Ultimate,,1,,,,1,1,3,1
1,Subhadeep Guha,day-1,Delhi Ultimate,Maharashtra Ultimate,1,,,,,8,6,3,
0,Sunny Chauhan,day-1,Delhi Ultimate,Maharashtra Ultimate,,,,,,1,1,5,1
74,Udayan Philip,day-1,Delhi Ultimate,Maharashtra Ultimate,,2,1,,1,8,4,4,
24,Ananya Thomas,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
26,Anudnya Jori,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
3,Kalpana Rathod,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
6,Kavya Chandel,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
27,Kimaya Dhongde,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
97,Nirbha Ghurye,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
11,Poonam Pokale,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
22,Radhika Rathod,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
93,Sahitra Ghurye,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
7,Sapna Dodmani,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
20,Sharanya Ramesh,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
77,Sushma Tapse,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
73,Vaishnavi _,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
19,Vidya Parmar,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
68,Chandan Dubey,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
14,Karan Arora,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
63,Kunal Pasalkar,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
92,Maksood Chaudhary,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
69,Rohan Bijoor,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
23,Sachin Pandit,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
9,Sandeep Kannoujia,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
49,Sanjeev Kumar,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
31,Shivamkumar Dubey,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
74,Shubham More,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
58,Sunil Varma,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
1,Sushant Tapse,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
4,Tahir Siddiqui,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
10,Vikas Chauhan,day-1,Maharashtra Ultimate,Delhi Ultimate,,,,,,,,,
